Keyword,Analyzed Pages,Avg Word Count,Median Word Count,FAQ Schema % (competitors),LocalBusiness Schema %,Service Schema %,Breadcrumb Schema %,Missing Schema Opportunities,H1 Exact Match (n/10),H1 Partial Match (n/10),Avg H2 Count,Top H2 Topics,Top Recommendation,Run Timestamp
"Garage Door Spring Repair and Replacement in Issaquah, WA",8,1466,1153,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/8,1/8,7,garage | repair | service | issaquah | services,Add FAQPage schema — 0% competitors have it,2026-03-25T01:18:14.933Z
"Emergency Garage Door Service in Issaquah, WA",9,1187,1092,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,3/9,6,garage | issaquah | repair | services | repairs,Add FAQPage schema — 0% competitors have it,2026-03-25T01:18:27.835Z
"Garage Door Maintenance and Tune-Up in Issaquah, WA",10,1442,1092,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,0/10,5,garage | repair | issaquah | installation | service,Add exact keyword to H1,2026-03-25T01:18:40.950Z
"Off-Track Garage Door Repair in Issaquah, WA",9,1252,698,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,0/9,6,garage | repair | service | installation | services,Add exact keyword to H1,2026-03-25T01:18:53.787Z
"Cable and Roller Repair in Issaquah, WA",9,1345,698,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,0/9,6,"garage | repair | services | issaquah, | installation",Add exact keyword to H1,2026-03-25T01:19:09.112Z
"Garage Door Sensor Repair in Issaquah, WA",8,1751,1626,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/8,0/8,7,garage | repair | issaquah | installation | maintenance,Add exact keyword to H1,2026-03-25T01:19:24.175Z
"Smart Garage Door Opener Installation in Issaquah, WA",6,2196,2112,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/6,1/6,5,garage | installation | repair | professional | issaquah,Add FAQPage schema — 0% competitors have it,2026-03-25T01:19:36.904Z
"Residential Garage Door Service in Issaquah, WA",10,1489,1330,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,2/10,5,garage | issaquah | repair | service | installation,Add FAQPage schema — 0% competitors have it,2026-03-25T01:19:52.057Z
"Commercial Garage Door Repair in Issaquah, WA",9,1524,1330,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,2/9,5,garage | issaquah | repair | replacement | installation,Add FAQPage schema — 0% competitors have it,2026-03-25T01:20:07.097Z
"Garage Door Repair in Renton, WA",9,1336,997,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,2/9,7,garage | repair | renton | installation | doors,Add FAQPage schema — 0% competitors have it,2026-03-25T01:20:21.913Z
"Garage Door Installation in Renton, WA",10,1471,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,2/10,7,garage | renton | repair | services | professional,Add FAQPage schema — 0% competitors have it,2026-03-25T01:20:35.473Z
"Garage Door Replacement in Renton, WA",10,1560,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,2/10,8,garage | renton | repair | doors | services,Add FAQPage schema — 0% competitors have it,2026-03-25T01:20:50.170Z
"Garage Door Opener Repair in Renton, WA",10,1471,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,1/10,7,garage | renton | repair | services | professional,Add FAQPage schema — 0% competitors have it,2026-03-25T01:21:03.636Z
"Garage Door Opener Installation in Renton, WA",8,1179,1412,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/8,0/8,5,"garage | renton | repair | renton, | choose",Add exact keyword to H1,2026-03-25T01:21:18.959Z
"Garage Door Spring Repair and Replacement in Renton, WA",9,1285,800,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,2/9,6,garage | renton | repair | services | doors,Add FAQPage schema — 0% competitors have it,2026-03-25T01:21:32.882Z
"Emergency Garage Door Service in Renton, WA",10,1745,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,4/10,8,garage | renton | repair | services | service,Add FAQPage schema — 0% competitors have it,2026-03-25T01:21:47.877Z
"Garage Door Maintenance and Tune-Up in Renton, WA",10,1660,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,0/10,8,garage | renton | repair | installation | doors,Add exact keyword to H1,2026-03-25T01:22:02.011Z
"Off-Track Garage Door Repair in Renton, WA",10,1488,1043,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,1/10,7,garage | renton | repair | doors | services,Add FAQPage schema — 0% competitors have it,2026-03-25T01:22:15.429Z
"Cable and Roller Repair in Renton, WA",8,1003,524,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/8,0/8,6,garage | repair | cable | replacement | cables,Add exact keyword to H1,2026-03-25T01:22:28.811Z
"Garage Door Sensor Repair in Renton, WA",9,1775,1505,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/9,1/9,8,garage | renton | repair | services | contact,Add FAQPage schema — 0% competitors have it,2026-03-25T01:22:42.118Z
"Smart Garage Door Opener Installation in Renton, WA",8,1602,1412,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/8,5/8,7,garage | renton | repair | neighbors | seattle,Add FAQPage schema — 0% competitors have it,2026-03-25T01:22:56.841Z
"Residential Garage Door Service in Renton, WA",10,1531,1302,0,0,0,0,FAQPage(0%); LocalBusiness(0%); Service(0%); BreadcrumbList(0%),0/10,0/10,6,garage | renton | repair | services | professional,Add exact keyword to H1,2026-03-25T01:23:10.474Z
